Mar 13 13:18:41 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=48, sum[0...48]=1176, running on core:3
Mar 13 13:18:41 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=49, sum[0...49]=1225, running on core:0
Mar 13 13:18:41 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=50, sum[0...50]=1275, running on core:2
Mar 13 13:18:41 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=51, sum[0...51]=1326, running on core:3
Mar 13 13:18:41 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=52, sum[0...52]=1378, running on core:0
Mar 13 13:18:41 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=53, sum[0...53]=1431, running on core:2
Mar 13 13:18:41 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=54, sum[0...54]=1485, running on core:3
Mar 13 13:18:41 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=55, sum[0...55]=1540, running on core:0
Mar 13 13:18:41 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=56, sum[0...56]=1596, running on core:2
Mar 13 13:18:41 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=57, sum[0...57]=1653, running on core:3
Mar 13 13:18:41 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=58, sum[0...58]=1711, running on core:0
Mar 13 13:18:41 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=59, sum[0...59]=1770, running on core:2
Mar 13 13:18:41 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=60, sum[0...60]=1830, running on core:3
Mar 13 13:18:41 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=61, sum[0...61]=1891, running on core:0
Mar 13 13:18:41 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=62, sum[0...62]=1953, running on core:2
Mar 13 13:18:41 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=63, sum[0...63]=2016, running on core:3
Mar 13 13:18:41 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=64, sum[0...64]=2080, running on core:0
Mar 13 13:18:41 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=65, sum[0...65]=2145, running on core:2
Mar 13 13:18:41 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=66, sum[0...66]=2211, running on core:3
Mar 13 13:18:41 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=67, sum[0...67]=2278, running on core:0
Mar 13 13:18:41 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=68, sum[0...68]=2346, running on core:2
Mar 13 13:18:41 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=69, sum[0...69]=2415, running on core:3
Mar 13 13:18:41 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=70, sum[0...70]=2485, running on core:0
Mar 13 13:18:41 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=71, sum[0...71]=2556, running on core:2
Mar 13 13:18:41 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=72, sum[0...72]=2628, running on core:3
Mar 13 13:18:41 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=73, sum[0...73]=2701, running on core:0
Mar 13 13:18:41 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=74, sum[0...74]=2775, running on core:2
Mar 13 13:18:41 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=75, sum[0...75]=2850, running on core:3
Mar 13 13:18:41 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=76, sum[0...76]=2926, running on core:0
Mar 13 13:18:41 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=77, sum[0...77]=3003, running on core:2
Mar 13 13:18:41 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=78, sum[0...78]=3081, running on core:3
Mar 13 13:18:41 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=79, sum[0...79]=3160, running on core:0
Mar 13 13:18:41 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=80, sum[0...80]=3240, running on core:2
Mar 13 13:18:41 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=81, sum[0...81]=3321, running on core:3
Mar 13 13:18:41 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=82, sum[0...82]=3403, running on core:0
Mar 13 13:18:41 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=83, sum[0...83]=3486, running on core:2
Mar 13 13:18:41 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=84, sum[0...84]=3570, running on core:3
Mar 13 13:18:41 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=85, sum[0...85]=3655, running on core:0
Mar 13 13:18:41 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=86, sum[0...86]=3741, running on core:2
Mar 13 13:18:41 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=87, sum[0...87]=3828, running on core:3
Mar 13 13:18:41 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=88, sum[0...88]=3916, running on core:0
